,msp,perplexity,entropy,calced_entropy,Class
0,0.12442731,1.1324997,0.12442731,[[0.8771716]],generated
1,0.8415954,2.3200655,0.8415954,[[3.350996]],generated
2,0.48186636,1.6190933,0.48186636,[[1.8510133]],generated
3,0.9080062,2.4793744,0.9080062,[[3.3484497]],generated
4,2.0273688,2.7557356,0.5151352,"[[2.9883654, 0.86654574, 1.8553154, 0.054811902, 0.0012951023, 0.031049741, 1.5220752, 0.00021895432, 0.019801809, 0.024906447]]",generated
5,0.10731141,1.1132809,0.10731141,[[0.747772]],generated
6,1.2267134,1.8466196,0.27831927,"[[2.6925564, 0.0016648243, 0.0018478469, 2.1692607, 2.0930178, 2.6203856, 1.7431458, 2.7219305, 0.0022966075, 1.2096062]]",generated
7,1.0065621,1.6541396,0.27080664,"[[2.8262143, 0.016009971, 1.7406864, 0.025387166, 1.868927, 1.3090024, 1.3271232, 1.0182211, 0.005736748, 0.0005835043]]",generated
8,0.6099425,1.8403256,0.6099425,[[2.3776681]],generated
9,0.25896585,1.2955896,0.25896585,[[1.3299121]],generated
10,0.13623291,1.1459488,0.13623291,[[0.67998254]],generated
11,0.71662486,2.0475109,0.71662486,[[2.9068592]],generated
12,0.3546508,1.1940197,0.14828667,"[[1.5157397, 0.05131787, 0.014645178, 0.57562333, 0.105419986, 2.9937758, 2.0741603, 0.48060322, 1.0159209, 1.3920195]]",generated
13,0.8060352,2.2390134,0.8060352,[[2.4413967]],generated
14,0.39756265,1.488193,0.39756265,[[1.4939084]],generated
15,0.263191,1.3010752,0.263191,[[1.2647688]],generated
16,0.36242804,1.4368138,0.36242804,[[1.5332794]],generated
17,0.70822793,2.0303903,0.70822793,[[2.5282657]],generated
18,0.05409751,1.0555875,0.05409751,[[0.47896406]],generated
19,0.30964026,1.3629347,0.30964026,[[1.5565269]],generated
20,0.26318067,1.3010617,0.26318067,[[1.8120962]],generated
21,0.8508214,2.3415694,0.8508214,[[2.763947]],generated
22,0.098044805,1.1030122,0.098044805,[[0.73715144]],generated
23,1.0971278,2.9955497,1.0971278,[[2.1635966]],generated
24,0.019222872,1.0194088,0.019222872,[[0.19862558]],generated
25,1.1103824,3.035519,1.1103824,[[2.9969766]],generated
26,0.35868126,1.4314405,0.35868126,[[2.4244037]],generated
27,2.258609,3.0935042,1.1256416,"[[3.1043744, 3.1571057, 0.0037556326, 4.053968, 2.577111, 0.039889716, 0.25013757, 0.007586087, 0.0005762595, 0.020061646]]",generated
28,0.23017207,1.2588165,0.23017207,[[1.1618018]],generated
29,0.16046426,1.1740558,0.16046426,[[1.0671513]],generated
30,0.27744788,1.3197573,0.27744788,[[1.4271517]],generated
31,0.179758,1.1969277,0.179758,[[1.0860256]],generated
32,0.41341802,1.511977,0.41341802,[[2.1179175]],generated
33,1.2897208,3.6317723,1.2897208,[[2.6450708]],generated
34,3.5412774,5.874604,1.6405437,"[[4.4963636, 4.4268804, 2.1169145, 0.65004236, 2.8430731, 0.3762179, 0.025309857, 0.14776443, 1.7234963, 0.42609206]]",generated
35,0.05086833,1.0521843,0.05086833,[[0.4529843]],generated
36,4.6825924,10.394701,2.2069616,"[[5.640086, 3.320339, 3.733396, 3.2632515, 6.117062, 3.7185984, 4.204751, 1.6517965, 1.7092206]]",generated
37,1.2763054,3.5833762,1.2763054,[[2.979159]],generated
38,0.36398214,1.4390483,0.36398214,[[1.6470535]],generated
39,0.4158758,1.5156977,0.4158758,[[1.9047855]],generated
40,0.08650195,1.0903535,0.08650195,[[0.67733467]],generated
41,0.6770506,1.9680645,0.6770506,[[2.4349077]],generated
42,0.96269923,2.6187556,0.96269923,[[2.989601]],generated
43,0.1387666,1.1488559,0.1387666,[[0.9453292]],generated
44,0.7314796,2.078153,0.7314796,[[3.1741345]],generated
45,0.48107597,1.6178142,0.48107597,[[2.1990323]],generated
46,0.09552389,1.1002352,0.09552389,[[0.68322325]],generated
47,2.2839558,3.1329587,1.0112569,"[[3.4852612, 3.449631, 0.092483915, 2.7137706, 0.6904465, 3.0444896, 1.3516597, 0.01946009, 1.908649, 0.14141957]]",generated
48,1.2237093,3.3997753,1.2237093,[[4.1721096]],generated
49,0.6649336,1.9443613,0.6649336,[[2.4505367]],generated
50,1.03433,1.6772659,0.4635703,"[[1.3905811, 0.99499977, 0.99612945, 0.084109776, 0.08573362, 0.7187942, 0.048535656, 0.026356418, 0.625479, 0.08222299]]",generated
51,2.4357896,3.3800645,1.208818,"[[3.011767, 3.6521456]]",generated
52,0.06564839,1.0678512,0.06564839,[[0.5645166]],generated
53,0.18472385,1.2028862,0.18472385,[[1.0157564]],generated
54,0.104669385,1.1103435,0.104669385,[[0.81273526]],generated
55,0.2314251,1.2603949,0.2314251,[[1.6184828]],generated
56,0.09135777,1.0956609,0.09135777,[[0.6202343]],generated
57,2.4526103,3.408612,0.94895446,"[[2.5604572, 4.701622, 2.9218955, 1.1711836, 1.1538954, 1.1356487, 1.0022742, 0.47626528, 3.2754729]]",generated
58,2.2368827,3.0600808,1.1017559,"[[2.5058823, 1.4178143, 1.0910101, 1.1140915, 0.010767205, 0.6081894, 0.5825502, 0.33224386, 0.14017363, 0.573797]]",generated
59,0.52586174,1.3007369,0.23028864,"[[2.3771615, 0.28412446, 0.6143964, 2.6362245, 0.070828915, 0.0012931814, 0.005710835, 0.19619843, 0.019538105, 0.0007537425]]",generated
60,1.0345851,2.8139386,1.0345851,[[3.5185957]],generated
61,0.07364643,1.0764261,0.07364643,[[0.5633678]],generated
62,0.09388995,1.0984389,0.09388995,[[0.71877795]],generated
63,1.5138263,4.5440845,1.5138263,[[4.167944]],generated
64,0.105406374,1.1111621,0.105406374,[[0.93030274]],generated
65,1.1186433,3.0606987,1.1186433,[[3.3220208]],generated
66,0.0022709328,1.0011362,0.0011354408,"[[0.013501646, 0.010557719, 0.007420569, 0.0035902807, 0.00775588, 0.018692825, 0.049215723, 0.4816756, 0.09595963, 0.2114764]]",generated
67,0.24902062,1.2827685,0.24902062,[[1.3807142]],generated
68,5.144779,13.097084,2.3329046,"[[5.374115, 5.608121, 2.8026023, 2.7197227, 4.724104, 2.9784594, 0.29247546, 3.5643623, 1.8232228, 1.6569182]]",generated
69,0.19524898,1.2156136,0.19524898,[[1.1073887]],generated
70,1.0951712,2.9896944,1.0951712,[[3.5153084]],generated
71,0.5431828,1.7214773,0.5431828,[[2.5689323]],generated
72,1.251986,1.870102,0.31792954,"[[2.0821753, 0.28915307, 0.0036670216, 0.0010401634, 1.2523513, 0.72148854, 2.64791, 0.34216094, 0.8671849, 1.1053737]]",generated
73,2.2826571,9.802693,2.2826571,[[4.8522587]],generated
74,0.92167914,2.5135074,0.92167914,[[2.9193845]],generated
75,0.17086367,1.186329,0.17086367,[[1.1035769]],generated
76,0.0927124,1.0971462,0.0927124,[[0.6806887]],generated
77,0.0629331,1.0649556,0.0629331,[[0.52923423]],generated
78,0.12227987,1.1300703,0.12227987,[[0.8953692]],generated
79,0.78851587,1.483283,0.35711065,"[[0.8201585, 1.1446123, 2.3632536, 1.382406]]",generated
80,0.14976911,1.161566,0.14976911,[[0.98436385]],generated
81,0.2126885,1.2369993,0.2126885,[[1.110536]],generated
82,0.26377696,1.3018377,0.26377696,[[1.5110092]],generated
83,2.588392,3.6480618,1.2620227,"[[2.9404805, 3.764258, 3.27623, 2.825235, 4.6229854, 1.3593277, 3.997606, 1.1680398, 0.030650984, 3.0994465]]",generated
84,1.3248173,3.761498,1.3248173,[[3.9701686]],generated
85,4.9631333,5.229825,1.4542129,"[[5.561324, 2.9398918, 4.725824]]",generated
86,5.861597,7.0559106,1.7926891,"[[5.6261654, 3.233054, 5.2845855]]",generated
87,0.37627956,1.4568543,0.37627956,[[1.7106624]],generated
88,1.0166426,1.6624979,0.49380305,"[[1.304288, 1.3496011, 0.19867416, 2.5860965, 2.2952783, 2.5238874, 1.8381606, 1.5239103, 3.5949705, 1.7972014]]",generated
89,0.09737332,1.1022718,0.09737332,[[0.75833154]],generated
90,0.08452318,1.0881981,0.08452318,[[0.65928936]],generated
91,0.5037345,1.65489,0.5037345,[[2.4626837]],generated
92,2.1334696,2.9058754,0.40886736,"[[3.7055755, 0.9746058, 0.023734437, 0.0067630215, 0.9707736, 1.3488699, 0.93756044, 0.6233266, 2.51502, 0.33933055]]",generated
93,6.476588,3.6521554,0.7067393,"[[5.541137, 2.6635942, 2.7777016, 1.4547946, 3.5975864]]",generated
94,0.112124376,1.118652,0.112124376,[[0.8358619]],generated
95,0.87813157,1.5512573,0.3982942,"[[0.8570441, 1.5881793, 2.7263794, 2.1902244, 2.652763]]",generated
96,0.059323665,1.0301062,0.029470319,"[[0.21219586, 0.13756977, 0.021962572, 0.123112895, 0.17591155, 0.14245048, 0.029618109, 0.20838761, 0.20146567, 0.12798941]]",generated
97,1.1030067,3.0132122,1.1030067,[[3.5852053]],generated
98,0.06565766,1.0678611,0.06565766,[[0.56474674]],generated
99,0.09380573,1.0983464,0.09380573,[[0.7201821]],generated
100,0.9825191,1.6343735,0.26809707,"[[2.83361, 0.006556749, 0.8910482, 1.4660387, 0.057964303, 0.21545094, 0.064145856, 0.011865111, 0.0684514, 0.026243871]]",generated
101,1.1554339,3.175401,1.1554339,[[3.432261]],generated
102,0.07845527,1.0816151,0.07845527,[[0.6254451]],generated
103,0.69006926,1.9938537,0.69006926,[[3.27987]],generated
104,0.06692735,1.0692178,0.06692735,[[0.55045146]],generated
105,0.100106284,1.1052885,0.100106284,[[0.77927196]],generated
106,0.2013489,1.2230514,0.2013489,[[1.2276027]],generated
107,0.35684404,1.1953297,0.15020493,"[[1.3975673, 0.078938894, 1.0858395, 1.612807, 2.1927164, 2.1037602, 1.5905734, 1.526212, 2.1602545, 1.64632]]",generated
108,0.11985587,1.1273344,0.11985587,[[0.8757174]],generated
109,1.9954008,7.3551507,1.9954008,[[3.731716]],generated
110,0.3864952,1.4718132,0.3864952,[[1.714037]],generated
111,1.7549835,2.4048603,0.5519554,"[[3.0122852, 1.1091331, 2.3692374, 0.3818157, 0.5263438, 1.6604291, 1.7349044, 2.43545, 0.9500882, 0.72943884]]",generated
112,2.624628,3.7147598,1.3105406,"[[2.3856964, 2.5841026, 1.8766437, 1.1966062, 0.93665063, 0.019403541, 0.010875401, 0.12560406, 0.2930693, 0.06946853]]",generated
113,0.10498123,1.1106898,0.10498123,[[0.89328957]],generated
114,0.212609,1.2369009,0.212609,[[1.0833926]],generated
115,3.288454,5.1770067,1.5285795,"[[4.5706987, 4.4859586, 2.0173337, 0.42078307, 2.696961, 0.5011697, 0.02376344, 0.11006792, 1.7913406, 0.41131464]]",generated
116,0.6802334,1.9743384,0.6802334,[[2.677823]],generated
117,0.30128056,1.3515885,0.30128056,[[1.5631914]],generated
118,0.09177058,1.0961133,0.09177058,[[0.7052109]],generated
119,0.07615841,1.0791335,0.07615841,[[0.57394516]],generated
120,0.94098836,2.5625129,0.94098836,[[2.9246092]],generated
121,0.36299372,1.4376267,0.36299372,[[1.484964]],generated
122,0.7236093,2.0618615,0.7236093,[[3.0410674]],generated
123,0.76131034,2.14108,0.76131034,[[2.9544363]],generated
124,0.22675993,1.2545286,0.22675993,[[1.1899005]],generated
125,0.030866675,1.031348,0.030866675,[[0.27645057]],generated
126,0.08179842,1.085237,0.08179842,[[0.64843893]],generated
127,0.9410711,2.562725,0.9410711,[[1.9607214]],generated
128,0.57010025,1.7684443,0.57010025,[[2.6939704]],generated
129,1.7284099,5.631692,1.7284099,[[3.8760242]],generated
130,0.09056756,1.0947955,0.09056756,[[0.68790674]],generated
131,0.6568797,1.9287647,0.6568797,[[2.3419838]],generated
132,0.10258223,1.1080284,0.10258223,[[0.7759231]],generated
133,4.486639,9.424564,1.8216108,"[[4.7359314, 5.4805584, 2.8245356, 1.4037026, 2.4727097, 0.73853415, 1.881021, 0.7844907, 0.03117344, 0.48563868]]",generated
134,0.32323822,1.3815944,0.32323822,[[1.9730539]],generated
135,0.55550545,1.7428218,0.55550545,[[2.1858647]],generated
136,1.3801466,1.9938617,0.36841393,"[[0.40931055, 3.185946, 0.5164139, 3.3477898, 0.4964337, 0.36592317, 0.29851985, 3.0470772, 0.3819325, 0.27399862]]",generated
137,1.8870381,2.569006,0.6086946,"[[3.1472902, 1.9692712, 2.276276, 2.369423, 2.3983247, 3.0805156, 1.2178748, 1.2129984, 0.31984058, 3.4208863]]",generated
138,0.22215602,1.2487662,0.22215602,[[1.2217054]],generated
139,0.079702996,1.0829654,0.079702996,[[0.5904168]],generated
140,0.0955851,1.1003025,0.0955851,[[0.79351676]],generated
141,0.060147222,1.0619929,0.060147222,[[0.4962504]],generated
142,1.0655999,2.9025798,1.0655999,[[2.6288166]],generated
143,3.0740838,4.650812,1.5283773,"[[3.558024, 3.7163875, 2.642179, 1.3783121, 2.1295104, 2.2216072, 1.2744651, 0.6922943, 1.4392427, 0.9724973]]",generated
144,0.07058451,1.0731353,0.07058451,[[0.60827893]],generated
145,4.6947236,10.457944,2.1858149,"[[5.512653, 5.875514]]",generated
146,0.8352619,2.3054178,0.8352619,[[3.255718]],generated
147,0.18913834,1.2082081,0.18913834,[[1.114833]],generated
148,0.29980806,1.3495997,0.29980806,[[1.4764302]],generated
149,5.241987,5.739253,1.527852,"[[5.568611, 3.010295, 4.5649595]]",generated
150,2.0006938,7.394184,2.0006938,[[3.9013681]],generated
151,1.5004468,4.483692,1.5004468,[[3.9625762]],generated
152,0.17474583,1.1909434,0.17474583,[[1.0512984]],generated
153,1.0006423,2.7200284,1.0006423,[[3.5697427]],generated
154,0.2351425,1.265089,0.2351425,[[1.2399457]],generated
155,2.5482402,3.5755541,1.2659941,"[[2.9758132, 2.6655233, 2.8828483, 0.0010811823, 2.96617, 0.13075437, 1.9197714, 0.3443315, 2.4330003, 1.3431586]]",generated
156,2.1753008,2.9672937,1.0615826,"[[2.9211905, 2.058649, 0.010212458, 0.7859984, 0.3473173, 0.07802494, 0.9805103, 0.055912767, 0.924535, 1.092881]]",generated
157,6.6036563,3.74616,0.6423855,"[[5.5392447, 0.16465852, 2.787412, 2.2931376, 3.5889716]]",generated
158,0.20961025,1.2331973,0.20961025,[[1.1773059]],generated
159,1.1840652,3.267631,1.1840652,[[3.2]],generated
160,0.35201567,1.4219307,0.35201567,[[1.5117974]],generated
161,0.16376302,1.1779351,0.16376302,[[1.0127877]],generated
162,0.485779,1.6254407,0.485779,[[1.5538626]],generated
163,0.13405816,1.1434593,0.13405816,[[0.90864426]],generated
164,1.8588598,2.5330646,0.6891673,"[[2.9343712, 0.6898021, 1.4244742, 0.14680159]]",generated
165,0.064528964,1.0666565,0.064528964,[[0.5419037]],generated
166,0.32601768,1.3854399,0.32601768,[[1.7002251]],generated
167,2.991287,4.4622073,0.34184006,"[[6.037431, 1.0458829]]",generated
168,0.21668467,1.2419524,0.21668467,[[1.2773796]],generated
169,5.0870795,2.7660377,0.57098347,"[[4.131775, 0.0111491475, 2.4347737, 1.697375, 3.8196497]]",generated
170,1.6847897,2.3219209,0.72261965,"[[2.2964425, 0.774703, 1.1607575, 0.16039616]]",generated
171,0.5398111,1.7156827,0.5398111,[[2.5520935]],generated
172,0.56336325,1.7565703,0.56336325,[[2.0662584]],generated
173,0.30886826,1.3618829,0.30886826,[[1.5460919]],generated
174,0.18945047,1.2085853,0.18945047,[[1.0236822]],generated
175,0.479898,1.6159097,0.479898,[[2.3562334]],generated
176,0.5498143,1.7329311,0.5498143,[[2.583216]],generated
177,0.15232672,1.1645406,0.15232672,[[0.86547244]],generated
178,1.1701233,3.22239,1.1701233,[[3.3130703]],generated
179,0.77767724,2.176411,0.77767724,[[2.3045392]],generated
180,0.465942,1.5935146,0.465942,[[2.2279212]],generated
181,0.04999477,1.0512656,0.04999477,[[0.4381251]],generated
182,1.7946858,6.0175834,1.7946858,[[4.396694]],generated
183,1.9141501,6.781173,1.9141501,[[4.176474]],generated
184,0.101539925,1.1068741,0.101539925,[[0.7247146]],generated
185,0.2745285,1.31591,0.2745285,[[1.4694031]],generated
186,1.1293838,3.0937498,1.1293838,[[4.3524294]],generated
187,1.0734442,1.710391,0.3175113,"[[0.36446404, 2.4237669, 0.9013036, 1.3811307, 2.858419, 2.8126302, 2.4722917, 1.899182, 2.4385846, 1.9763733]]",generated
188,1.2969894,3.6582668,1.2969894,[[5.523943]],generated
189,0.23654142,1.1255488,0.11134133,"[[0.22956151, 0.6804228, 0.17235617, 1.1429676, 0.12975517, 3.1523428, 0.7195677, 0.60132265, 1.772869, 0.18944544]]",generated
190,0.37067258,1.4487085,0.37067258,[[1.7459749]],generated
191,3.1379092,1.8730756,0.4045543,"[[4.2538366, 0.014175139, 1.9665316, 0.7144816, 2.4560192]]",generated
192,0.62489086,1.8680421,0.62489086,[[2.4301689]],generated
193,0.20642427,1.2292746,0.20642427,[[1.1028498]],generated
194,0.8953738,2.4482508,0.8953738,[[3.6385224]],generated
195,0.7592477,1.4617345,0.25415674,"[[0.13722846, 1.6995008, 0.010563489, 0.1581935, 1.2922282, 0.035326008, 0.012667421, 0.29547018, 2.0616627, 0.015028905]]",generated
196,0.05598395,1.0575807,0.05598395,[[0.4857795]],generated
197,0.037045725,1.0377405,0.037045725,[[0.370346]],generated
198,0.50787497,1.6617562,0.50787497,[[1.8510406]],generated
199,0.102465704,1.1078993,0.102465704,[[0.6885905]],generated
